onet_soc_code,api_usage_count,task_usage_share,weighted_exposure,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,Job Zone,nonroutine_total,task_importance,ai_exposure,wage_bill,wage_share,emp_share,wage_at_risk,emp_at_risk,wage_quintile,routine_intensity
11-3131.00,278.0,0.00033489698905922856,0.0014314798351053963,140590.0,127090.0,44960.0,Training and Development Managers,4,0.6086350974930363,4.312,0.00033489698905922856,6320926400.0,0.0005302230743573276,0.00030366570296482687,2116859.219424989,15.056968628102917,Q5 (highest),0.39136490250696365
11-9013.00,24.0,2.8911970278494555e-05,0.00011641343751008485,97240.0,87980.0,5910.0,"Farmers, Ranchers, and Other Agricultural Managers",4,0.7653203342618385,,2.8911970278494555e-05,574688400.0,4.820702393331042e-05,3.9916910687769724e-05,16615.37394019559,0.17086974434590282,Q4,0.23467966573816146
11-9021.00,205.0,0.0002469564127954743,0.0010505887199947959,119660.0,106980.0,348330.0,Construction Managers,4,0.5905292479108638,4.2375,0.0002469564127954743,41681167800.0,0.003496373084445288,0.0023526662436329656,10293431.68101423,86.02232726904757,Q5 (highest),0.4094707520891362
11-9031.00,142.0,0.0001710624908144261,0.000623450499092887,62640.0,56270.0,71620.0,"Education and Childcare Administrators, Preschool and Daycare",4,0.4909470752089139,3.6775,0.0001710624908144261,4486276800.0,0.0003763257672663225,0.000483730819536052,767433.683890973,12.251495592129197,Q2,0.5090529247910861
11-9032.00,700.0,0.0008432657997894244,0.0035161774520362458,113360.0,104070.0,319630.0,"Education Administrators, Kindergarten through Secondary",5,0.7353760445682452,3.814285714285714,0.0008432657997894244,36233256800.0,0.003039381824549412,0.0021588227010375357,30554266.2744276,269.5330475866937,Q4,0.26462395543175476
11-9033.00,19.0,2.2888643137141523e-05,7.141256658788155e-05,124450.0,103960.0,176420.0,"Education Administrators, Postsecondary",5,0.5647632311977717,3.12,2.2888643137141523e-05,21955469000.0,0.0018417072965976951,0.0011915636858775523,502530.89484957344,4.038014422254507,Q5 (highest),0.4352367688022283
11-9041.00,83.0,9.998723054646033e-05,0.00034595581769075273,175710.0,167740.0,210340.0,Architectural and Engineering Managers,5,0.6671309192200559,3.46,9.998723054646033e-05,36958841400.0,0.0031002465891380856,0.0014206637891819769,3695412.195791863,21.031314073142465,Q5 (highest),0.33286908077994415
11-9051.00,128.0,0.0001541971748186376,0.0006950678588035744,72370.0,65310.0,244230.0,Food Service Managers,2,0.431058495821727,4.3933333333333335,0.0001541971748186376,17674925100.0,0.0014826391785795032,0.0016495612685742808,2725423.515551026,37.65957600595586,Q3,0.568941504178273
11-9071.00,82.0,9.878256511818972e-05,0.00043859458912476237,102480.0,85580.0,4620.0,Gambling Managers,2,0.6455431754874654,4.385,9.878256511818972e-05,473457600.0,3.971540378161054e-05,3.120408246658141e-05,46769.35620270182,0.4563754508460365,Q4,0.3544568245125346
11-9072.00,44.0,5.300527884390668e-05,0.00021342463543515557,87060.0,77180.0,36700.0,"Entertainment and Recreation Managers, Except Gambling",4,,,5.300527884390668e-05,3195102000.0,0.00026801716997135834,0.00024787658582760557,169357.27244472393,1.9452937335713754,Q3,
