onet_soc_code,api_usage_count,task_usage_share,weighted_exposure,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,weight_method,wage_bill,wage_share,emp_share,wage_at_risk,emp_at_risk
11-9041.00,83.0,9.998723054646033e-05,9.998723054646033e-05,175710.0,167740.0,210340.0,Architectural and Engineering Managers,5,9.998723054646033e-05,employment_weighted,36958841400.0,0.003081150431865818,0.0014140757071689483,3695412.195791863,21.031314073142465
11-9051.00,128.0,0.0001541971748186376,0.0001541971748186376,72370.0,65310.0,244230.0,Food Service Managers,2,0.0001541971748186376,employment_weighted,17674925100.0,0.0014735067724569143,0.0016419117141859478,2725423.515551026,37.65957600595586
11-9071.00,82.0,9.878256511818972e-05,9.878256511818972e-05,102480.0,85580.0,4620.0,Gambling Managers,2,9.878256511818972e-05,employment_weighted,473457600.0,3.9470774338455145e-05,3.105937894418818e-05,46769.35620270182,0.4563754508460365
11-9072.00,11.0,1.325131971097667e-05,1.325131971097667e-05,87060.0,77180.0,36700.0,"Entertainment and Recreation Managers, Except Gambling",4,1.325131971097667e-05,employment_weighted,3195102000.0,0.0002663663019251285,0.0002467271011367329,42339.31811118098,0.48632343339284384
11-9081.00,195.0,0.00023490975851276824,0.00023490975851276824,77460.0,68130.0,41350.0,Lodging Managers,4,0.00023490975851276824,employment_weighted,3202971000.0,0.00026702231742317797,0.0002779881643597795,752409.1441333998,9.713518514502967
11-9111.00,247.0,0.0002975523607828398,0.0002975523607828398,137730.0,117960.0,565840.0,Medical and Health Services Managers,4,0.0002975523607828398,employment_weighted,77933143200.0,0.006497058044339578,0.003804034411640571,23189190.742387116,168.36702782536204
11-9121.00,198.0,0.00023852375479758005,0.00023852375479758005,173500.0,161180.0,100870.0,Natural Sciences Managers,5,0.00023852375479758005,employment_weighted,17500945000.0,0.0014590025607461258,0.0006781297736147752,4174391.1139059346,24.059891146431898
11-9121.01,1744.0,0.0021009365069039375,0.0021009365069039375,173500.0,161180.0,100870.0,Clinical Research Coordinators,4,0.0021009365069039375,employment_weighted,17500945000.0,0.0014590025607461258,0.0006781297736147752,36768374.25581793,211.92146545140017
11-9121.02,25.0,3.011663570676516e-05,3.011663570676516e-05,173500.0,161180.0,100870.0,Water Resource Specialists,4,3.011663570676516e-05,employment_weighted,17500945000.0,0.0014590025607461258,0.0006781297736147752,527069.5850891332,3.0378650437414016
11-9131.00,17.0,2.047931228060031e-05,2.047931228060031e-05,93760.0,92730.0,13810.0,Postmasters and Mail Superintendents,2,2.047931228060031e-05,employment_weighted,1294825600.0,0.0001079458204182482,9.284199636780059e-05,26517.137811315664,0.28281930259509025
