onet_soc,bls_soc
33-9099.02,33-9099-02
17-2011.00,17-2011-00
23-1011.00,23-1011-00
25-2051.00,25-2051-00
27-2012.04,27-2012-04
29-2011.02,29-2011-02
11-9021.00,11-9021-00
11-9031.00,11-9031-00
11-9199.09,11-9199-09
17-1011.00,17-1011-00
25-2059.01,25-2059-01
23-2011.00,23-2011-00
11-9151.00,11-9151-00
29-2051.00,29-2051-00
27-2041.00,27-2041-00
17-2051.01,17-2051-01
27-3011.00,27-3011-00
51-9195.00,51-9195-00
29-9091.00,29-9091-00
19-3011.01,19-3011-01
39-6011.00,39-6011-00
17-2081.00,17-2081-00
17-2199.09,17-2199-09
53-3053.00,53-3053-00
29-1123.00,29-1123-00
13-1041.03,13-1041-03
51-4031.00,51-4031-00
47-2181.00,47-2181-00
43-5011.01,43-5011-01
49-2021.00,49-2021-00
43-5061.00,43-5061-00
21-1021.00,21-1021-00
21-1094.00,21-1094-00
27-4011.00,27-4011-00
19-3099.01,19-3099-01
11-9071.00,11-9071-00
31-1131.00,31-1131-00
29-1161.00,29-1161-00
25-2058.00,25-2058-00
43-5021.00,43-5021-00
25-1022.00,25-1022-00
11-2033.00,11-2033-00
33-9011.00,33-9011-00
27-4014.00,27-4014-00
19-4099.01,19-4099-01
53-1042.00,53-1042-00
27-4012.00,27-4012-00
25-1082.00,25-1082-00
23-1022.00,23-1022-00
25-2057.00,25-2057-00
43-4031.00,43-4031-00
17-2112.01,17-2112-01
33-3051.04,33-3051-04
17-3026.01,17-3026-01
13-2041.00,13-2041-00
25-2055.00,25-2055-00
29-1129.01,29-1129-01
49-3031.00,49-3031-00
51-4081.00,51-4081-00
51-2023.00,51-2023-00
11-9072.00,11-9072-00
51-9151.00,51-9151-00
25-1121.00,25-1121-00
43-4141.00,43-4141-00
19-2041.03,19-2041-03
11-3031.01,11-3031-01
39-5012.00,39-5012-00
11-9199.10,11-9199-10
39-9041.00,39-9041-00
39-9011.00,39-9011-00
49-2097.00,49-2097-00
21-1022.00,21-1022-00
49-2094.00,49-2094-00
29-1122.01,29-1122-01
13-1082.00,13-1082-00
17-3025.00,17-3025-00
49-2093.00,49-2093-00
23-1023.00,23-1023-00
47-1011.03,47-1011-03
29-2034.00,29-2034-00
29-9099.01,29-9099-01
33-1021.00,33-1021-00
29-1128.00,29-1128-00
51-9011.00,51-9011-00
21-2021.00,21-2021-00
11-3111.00,11-3111-00
29-1299.01,29-1299-01
29-2035.00,29-2035-00
39-3093.00,39-3093-00
39-9031.00,39-9031-00
53-2012.00,53-2012-00
47-4011.00,47-4011-00
11-3051.04,11-3051-04
21-1023.00,21-1023-00
31-9095.00,31-9095-00
21-1091.00,21-1091-00
11-3013.00,11-3013-00
39-4021.00,39-4021-00
43-2021.00,43-2021-00
