onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_share,emp_share
25-1124.00,96.91,53.14,1400.0513830532213,87670.0,77010.0,21170.0,"Foreign Language and Literature Teachers, Postsecondary",5.0,0.5483438241667526,0.06613374506628349,1855973900.0,0.00015886033824979374,0.00014548336349289818
25-1125.00,98.19,58.08,431.01690029460065,93710.0,81500.0,19860.0,"History Teachers, Postsecondary",5.0,0.5915062633669417,0.021702764365287043,1861080600.0,0.0001592974414274517,0.00013648085021109862
25-1126.00,90.27,57.36,367.01690029460065,88210.0,78050.0,20840.0,"Philosophy and Religion Teachers, Postsecondary",5.0,0.635427052176803,0.017611175637936693,1838296400.0,0.00015734724928372006,0.0001432155548035899
25-1192.00,98.26,48.839999999999996,58.15975743745774,84450.0,77280.0,2630.0,"Family and Consumer Sciences Teachers, Postsecondary",5.0,0.49704864644819857,0.02211397621196112,222103500.0,1.90107399336074e-05,1.80737480390327e-05
25-1193.00,92.89,52.29,323.23565029460065,87980.0,75890.0,12680.0,"Recreation and Fitness Studies Teachers, Postsecondary",5.0,0.5629238884702336,0.02549177052796535,1115586400.0,9.548756739029019e-05,8.713883084978503e-05
25-1194.00,81.03,25.0,2521.0,68710.0,61490.0,111150.0,"Career/Technical Education Teachers, Postsecondary",3.0,0.3085277057879798,0.02268106162843005,7637116500.0,0.0006536917951502879,0.0007638391994442906
25-2011.00,142.63,13.21,23.31818181818182,41450.0,37120.0,445080.0,"Preschool Teachers, Except Special Education",3.0,0.09261726144569866,5.239098997524449e-05,18448566000.0,0.0015790876342515615,0.003058655428597975
25-2012.00,158.89,21.64,45.734848484848484,67020.0,61430.0,114410.0,"Kindergarten Teachers, Except Special Education",4.0,0.13619485178425328,0.00039974520133597135,7667758200.0,0.0006563145426073231,0.0007862424004356392
25-2021.00,157.15,39.23,103.058658008658,69790.0,62340.0,1393310.0,"Elementary School Teachers, Except Special Education",4.0,0.2496341075405663,7.396678270353187e-05,97239104900.0,0.008323089616465607,0.00957503189363675
25-2022.00,136.86,44.660000000000004,301.97532467532466,70040.0,62970.0,620370.0,"Middle School Teachers, Except Special and Career/Technical Education",4.0,0.32631886599444687,0.0004867664856058879,43450714800.0,0.0037191230169364552,0.004263274171473276
25-2023.00,126.08,34.06,91.72532467532467,68690.0,63620.0,14200.0,"Career/Technical Education Teachers, Middle School",4.0,0.2701459390862944,0.006459529906713005,975398000.0,8.348827330393617e-05,9.758449511568985e-05
25-2031.00,117.88,39.53,277.47532467532466,73700.0,64580.0,1072540.0,"Secondary School Teachers, Except Special and Career/Technical Education",4.0,0.3353410247709535,0.0002587086026398313,79046198000.0,0.006765884882131246,0.007370653126153662
25-2032.00,129.18,28.9,241.22532467532469,70550.0,63910.0,104450.0,"Career/Technical Education Teachers, Secondary School",4.0,0.22371884192599473,0.0023094813276718497,7368947500.0,0.000630738122122823,0.0007177958109037891
25-2051.00,152.8,17.17,122.3,72610.0,62190.0,28200.0,"Special Education Teachers, Preschool",5.0,0.11236910994764399,0.004336879432624114,2047602000.0,0.0001752625650182657,0.00019379456072270802
25-2057.00,159.75,44.03,318.47532467532466,72310.0,64880.0,95330.0,"Special Education Teachers, Middle School",4.0,0.27561815336463225,0.0033407670688694498,6893312300.0,0.0005900265750716988,0.0006551218253083601
25-2058.00,156.82,40.42,341.14199134199134,74610.0,69590.0,162780.0,"Special Education Teachers, Secondary School",4.0,0.25774773625813036,0.002095724237264967,12145015800.0,0.0010395411907662545,0.001118648177107887
25-2059.01,84.49,8.149999999999999,80.0,74180.0,67430.0,39350.0,Adapted Physical Education Specialists,5.0,0.09646111965913125,0.0020330368487928843,2918983000.0,0.0002498476011572133,0.0002704190058311546
25-3011.00,143.13,57.5,1402.5681818181818,64660.0,59950.0,36260.0,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.0,0.40173269056102845,0.03868086546657975,2344571600.0,0.0002006813982819802,0.00024918406992217705
25-3021.00,116.91,45.83,609.4015151515151,53330.0,45590.0,308520.0,Self-Enrichment Teachers,3.0,0.3920109485929347,0.0019752415245414077,16453371600.0,0.0014083108484044685,0.002120194960076946
25-3041.00,74.79,34.65,5141.0,47780.0,40090.0,174660.0,Tutors,3.0,0.4632972322503008,0.02943432955456315,8345254800.0,0.0007143042261039958,0.0012002892899229851
25-4011.00,54.87,11.58,584.0,67620.0,61570.0,7050.0,Archivists,5.0,0.21104428649535267,0.08283687943262412,476721000.0,4.0804485079655444e-05,4.8448640180677005e-05
25-4012.00,54.86,24.12,508.0,70060.0,61770.0,12280.0,Curators,5.0,0.43966460080204156,0.041368078175895766,860336800.0,7.363971823997371e-05,8.438997183244165e-05
25-4022.00,106.6,33.95,939.0,69180.0,64320.0,131830.0,Librarians and Media Collections Specialists,5.0,0.3184803001876173,0.007122809679132216,9119999400.0,0.0007806177605848422,0.0009059552106409432
25-4031.00,113.78,16.59,910.0,43050.0,39970.0,73770.0,Library Technicians,3.0,0.14580769906837757,0.012335637793140843,3175798500.0,0.00027182948204346386,0.0005069583242735522
25-9021.00,56.6,10.92,73.0,60470.0,58120.0,10260.0,Farm and Home Management Educators,5.0,0.1929328621908127,0.007115009746588694,620422200.0,5.3104453974100166e-05,7.05082337948576e-05
25-9031.00,50.0,11.7,101.0,77600.0,74720.0,210850.0,Instructional Coordinators,5.0,0.23399999999999999,0.000479013516718046,16361960000.0,0.0014004865585823137,0.0014489923095171273
25-9044.00,74.81,13.379999999999999,554.0,47560.0,44930.0,155010.0,"Teaching Assistants, Postsecondary",5.0,0.17885309450608206,0.0035739629701309595,7372275600.0,0.0006310229877083406,0.0010652515906959918
27-1011.00,66.07000000000001,16.34,974.0,128100.0,111040.0,50370.0,Art Directors,4.0,0.24731345542606323,0.019336906889021243,6452397000.0,0.0005522868451662787,0.00034615007175896464
27-1012.00,62.06,12.67,447.0,45340.0,38480.0,4370.0,Craft Artists,3.0,0.20415726716081212,0.1022883295194508,198135800.0,1.695924722184589e-05,3.0031284764476384e-05
27-1013.00,101.67,41.2,2452.0,76450.0,60560.0,10000.0,"Fine Artists, Including Painters, Sculptors, and Illustrators",3.0,0.4052326153240878,0.2452,764500000.0,6.54366575909108e-05,6.872147543358441e-05
27-1014.00,48.1,18.34,4585.0,110110.0,99800.0,21280.0,Special Effects Artists and Animators,4.0,0.38128898128898125,0.21546052631578946,2343140800.0,0.0002005589303033261,0.0001462392997226676
27-1021.00,59.99,1.91,19.0,88000.0,79450.0,30250.0,Commercial and Industrial Designers,4.0,0.03183863977329555,0.000628099173553719,2662000000.0,0.00022785138326619298,0.0002078824631865928
27-1022.00,76.65,6.98,212.0,122430.0,80690.0,20910.0,Fashion Designers,3.0,0.09106327462491846,0.01013868962219034,2560011300.0,0.00021912175652970885,0.000143696605131625
27-1024.00,77.1,17.63,2692.0,68610.0,61300.0,214260.0,Graphic Designers,4.0,0.22866407263294422,0.012564174367590778,14700378600.0,0.0012582650633158308,0.0014724263326399796
27-1025.00,66.4,4.52,19.0,71430.0,63490.0,69580.0,Interior Designers,4.0,0.0680722891566265,0.0002730669732681805,4970099400.0,0.00042541097793406303,0.0004781640260668803
27-1027.00,105.64,12.37,107.0,78450.0,66280.0,10850.0,Set and Exhibit Designers,5.0,0.11709579704657326,0.009861751152073732,851182500.0,7.285616455183182e-05,7.456280084543909e-05
27-2012.00,103.77,32.61,1531.0,114280.0,83480.0,145270.0,Producers and Directors,4.0,0.31425267418328995,0.01053899635162112,16601455600.0,0.0014209859589377483,0.0009983168736236807
27-2012.03,85.28,14.329999999999998,185.0,114280.0,83480.0,145270.0,Media Programming Directors,4.0,0.16803470919324576,0.0012734907413781236,16601455600.0,0.0014209859589377483,0.0009983168736236807
27-2012.04,57.81,7.68,98.0,114280.0,83480.0,145270.0,Talent Directors,4.0,0.13284898806434872,0.0006746059062435465,16601455600.0,0.0014209859589377483,0.0009983168736236807
27-2022.00,109.03,13.08,60.0,58910.0,45920.0,250940.0,Coaches and Scouts,4.0,0.11996698156470696,0.0002391009803140193,14782875400.0,0.001265326299226813,0.001724496704530367
27-2032.00,70.03,16.07,962.0,62020.0,55600.0,3430.0,Choreographers,3.0,0.2294730829644438,0.280466472303207,212728600.0,1.8208304196198595e-05,2.3571466073719452e-05
27-2041.00,109.98,3.86,61.0,84230.0,63670.0,12330.0,Music Directors and Composers,4.0,0.03509729041643935,0.004947283049472831,1038555900.0,8.889421428034034e-05,8.473357920960957e-05
27-3011.00,94.25,12.27,134.0,80110.0,45680.0,23880.0,Broadcast Announcers and Radio Disc Jockeys,4.0,0.13018567639257295,0.005611390284757119,1913026800.0,0.00016374372750011223,0.00016410688333539955
27-3023.00,122.64999999999999,42.17,666.0,106030.0,60280.0,41550.0,"News Analysts, Reporters, and Journalists",4.0,0.343823889115369,0.016028880866425992,4405546500.0,0.0003770886040828456,0.0002855377304265432
27-3031.00,69.21,31.75,1112.0,80310.0,69780.0,280590.0,Public Relations Specialists,4.0,0.4587487357318307,0.003963077800349264,22534182900.0,0.0019287921654915071,0.001928255879190945
27-3041.00,82.21,28.32,6689.0,85700.0,75260.0,95480.0,Editors,4.0,0.3444836394599197,0.07005655634687893,8182636000.0,0.0007003850230517462,0.0006561526474398639
27-3042.00,58.48,23.96,2455.0,92330.0,91670.0,55530.0,Technical Writers,4.0,0.40971272229822164,0.04421033675490726,5127084900.0,0.00043884800397753974,0.0003816103530826942
27-3043.00,31.82,18.89,310.0,85780.0,72270.0,47800.0,Writers and Authors,4.0,0.5936517913262099,0.006485355648535565,4100284000.0,0.000350959947852832,0.00032848865257253344
27-3043.05,63.95,29.89,5087.5,85780.0,72270.0,47800.0,"Poets, Lyricists and Creative Writers",4.0,0.4673964034401876,0.10643305439330544,4100284000.0,0.000350959947852832,0.00032848865257253344
27-3091.00,71.19,34.54,2103.0,64950.0,59440.0,53360.0,Interpreters and Translators,4.0,0.48518050287961795,0.03941154422788606,3465732000.0,0.00029664606695338453,0.0003666977929136064
27-3092.00,65.9,9.61,381.0,74630.0,67310.0,12630.0,Court Reporters and Simultaneous Captioners,3.0,0.14582701062215475,0.03016627078384798,942576900.0,8.067898215618334e-05,8.67952234726171e-05
27-4011.00,97.19,18.6,216.0,61370.0,54830.0,70080.0,Audio and Video Technicians,3.0,0.19137771375655935,0.0030821917808219177,4300809600.0,0.0003681237477552675,0.0004816000998385595
27-4012.00,105.92999999999999,7.369999999999999,71.0,64220.0,53920.0,21080.0,Broadcast Technicians,3.0,0.0695742471443406,0.003368121442125237,1353757600.0,0.00011587360697487663,0.00014486487021399592
27-4014.00,59.269999999999996,4.83,50.0,79280.0,66430.0,13050.0,Sound Engineering Technicians,3.0,0.08149147966930995,0.0038314176245210726,1034604000.0,8.855595512123829e-05,8.968152544082765e-05
27-4021.00,111.22,13.809999999999999,1429.0,55650.0,42520.0,51230.0,Photographers,3.0,0.12416831505124977,0.027893812219402694,2850949500.0,0.00024402433779003053,0.0003520601186462529
27-4031.00,86.59,13.53,376.0,79870.0,68810.0,24460.0,"Camera Operators, Television, Video, and Film",3.0,0.15625360896177387,0.015372035977105479,1953620200.0,0.00016721828134739916,0.00016809272891054746
27-4032.00,91.81,42.94,1543.0,83530.0,70980.0,28860.0,Film and Video Editors,4.0,0.46770504302363575,0.05346500346500346,2410675800.0,0.0002063395250324329,0.0001983301781013246
29-1011.00,50.44,9.43,43.0,91830.0,79000.0,37630.0,Chiropractors,5.0,0.18695479777954005,0.0011427052883337763,3455562900.0,0.00029577565241485247,0.0002585989120565781
29-1021.00,85.97,13.46,143.0,196100.0,172790.0,113490.0,"Dentists, General",5.0,0.15656624403861813,0.0012600229095074457,22255389000.0,0.001904929064153725,0.0007799200246957494
29-1023.00,52.8,4.77,26.0,254620.0,,5150.0,Orthodontists,5.0,0.09034090909090908,0.005048543689320388,1311293000.0,0.00011223888952564839,3.539155984829597e-05
