onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
27-3031.00,69.21,31.75,1112.0,80310.0,69780.0,280590.0,Public Relations Specialists,4.0,0.4587487357318307,0.003963077800349264,22534182900.0,10337527916.12484,128720.30775899439
27-3041.00,82.21,28.32,6689.0,85700.0,75260.0,95480.0,Editors,4.0,0.3444836394599197,0.07005655634687893,8182636000.0,2818784229.65576,32891.297895633135
27-3042.00,58.48,23.96,2455.0,92330.0,91670.0,55530.0,Technical Writers,4.0,0.40971272229822164,0.04421033675490726,5127084900.0,2100631911.8331056,22751.347469220247
27-3043.00,31.82,18.89,310.0,85780.0,72270.0,47800.0,Writers and Authors,4.0,0.5936517913262099,0.006485355648535565,4100284000.0,2434140941.5461974,28376.555625392833
27-3043.05,63.95,29.89,5087.5,85780.0,72270.0,47800.0,"Poets, Lyricists and Creative Writers",4.0,0.4673964034401876,0.10643305439330544,4100284000.0,1916457994.6833463,22341.54808444097
27-3091.00,71.19,34.54,2103.0,64950.0,59440.0,53360.0,Interpreters and Translators,4.0,0.48518050287961795,0.03941154422788606,3465732000.0,1681505594.605984,25889.231633656414
27-3092.00,65.9,9.61,381.0,74630.0,67310.0,12630.0,Court Reporters and Simultaneous Captioners,3.0,0.14582701062215475,0.03016627078384798,942576900.0,137453171.6084977,1841.7951441578145
27-4011.00,97.19,18.6,216.0,61370.0,54830.0,70080.0,Audio and Video Technicians,3.0,0.19137771375655935,0.0030821917808219177,4300809600.0,823079108.5502625,13411.750180059678
27-4012.00,105.92999999999999,7.369999999999999,71.0,64220.0,53920.0,21080.0,Broadcast Technicians,3.0,0.0695742471443406,0.003368121442125237,1353757600.0,94186665.83592938,1466.6251298026998
27-4014.00,59.269999999999996,4.83,50.0,79280.0,66430.0,13050.0,Sound Engineering Technicians,3.0,0.08149147966930995,0.0038314176245210726,1034604000.0,84311410.83178675,1063.463809684495
27-4021.00,111.22,13.809999999999999,1429.0,55650.0,42520.0,51230.0,Photographers,3.0,0.12416831505124977,0.027893812219402694,2850949500.0,353997595.711203,6361.1427800755255
